,지역,일시,발전량,년,월,평균 기온,최저 기온,최저 기온 시각,최고 기온,최고 기온 시각,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최다 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,평균 지면온도,최저 초상온도,일강수량
0,강원도,2020-01-01,611616.825,2020.0,1.0,-2.792857142857143,-7.564285714285715,41.642857142857146,2.0285714285714285,1430.5,8.807142857142857,237.14285714285714,1162.2857142857142,4.728571428571429,217.85714285714286,1218.0,1.9785714285714284,1721.2142857142858,179.28571428571428,-9.507142857142856,39.142857142857146,257.5,62.792857142857144,3.0500000000000003,1002.9785714285715,1032.3857142857144,744.2142857142857,1028.7642857142857,1396.857142857143,1030.6642857142856,9.62142857142857,5.75,-1.707142857142857,-10.414285714285715,0.0071428571428571435
1,강원도,2020-01-02,609276.806,2020.0,1.0,-0.3714285714285715,-5.035714285714286,258.2857142857143,4.285714285714286,1418.7857142857142,7.728571428571429,235.71428571428572,1522.5714285714287,4.514285714285714,223.57142857142858,1552.857142857143,1.8571428571428572,1605.0714285714287,175.0,-6.428571428571429,47.714285714285715,1396.0,66.62857142857142,3.835714285714286,1000.9785714285715,1031.1357142857144,362.0,1025.9714285714285,1680.4285714285713,1028.357142857143,9.62142857142857,5.271428571428572,-0.8714285714285713,-8.757142857142856,0.0
2,강원도,2020-01-03,902365.573,2020.0,1.0,0.17142857142857143,-4.014285714285714,898.9285714285714,6.3500000000000005,1440.5,7.671428571428572,245.71428571428572,1408.857142857143,4.428571428571429,241.42857142857142,1438.857142857143,1.7214285714285715,1498.0,203.57142857142858,-8.871428571428572,27.928571428571427,1409.857142857143,56.66428571428571,3.192857142857143,998.5357142857143,1027.1928571428573,356.92857142857144,1023.0785714285713,1434.142857142857,1025.3285714285714,9.635714285714286,7.971428571428571,-0.4714285714285714,-8.585714285714285,0.0
3,강원도,2020-01-04,931391.579,2020.0,1.0,-0.48571428571428577,-5.614285714285714,1016.4285714285714,6.421428571428572,1418.4285714285713,8.557142857142857,277.85714285714283,1318.4285714285713,4.728571428571429,246.42857142857142,1294.0,1.6928571428571428,1469.7857142857142,201.42857142857142,-9.385714285714286,30.5,1368.2857142857142,56.47857142857142,3.042857142857143,998.3000000000001,1028.5357142857142,2305.4285714285716,1022.1214285714286,1312.0,1025.1642857142856,9.635714285714286,8.078571428571427,-1.0142857142857145,-10.15,0.0
4,강원도,2020-01-05,921021.631,2020.0,1.0,-0.8357142857142857,-6.735714285714286,719.1428571428571,6.814285714285715,1411.4285714285713,3.8000000000000003,165.71428571428572,1269.7857142857142,2.392857142857143,207.14285714285714,1208.0714285714287,0.8428571428571427,725.6428571428571,142.14285714285714,-7.957142857142857,29.142857142857142,1355.2857142857142,62.92142857142857,3.414285714285714,1004.092857142857,1033.3071428571427,1133.142857142857,1027.85,406.7857142857143,1031.1714285714286,9.664285714285713,7.635714285714286,-0.95,-11.457142857142857,0.0
5,강원도,2020-01-06,167465.474,2020.0,1.0,1.157142857142857,-3.6,326.64285714285717,4.428571428571429,1421.2142857142858,4.057142857142857,207.85714285714286,1171.7142857142858,2.6,209.28571428571428,1012.3571428571429,0.8285714285714285,714.2142857142857,200.0,-3.5785714285714287,48.857142857142854,1183.5714285714287,73.58571428571429,4.828571428571428,1000.9785714285715,1031.9785714285715,40.07142857142857,1023.6285714285714,2358.9285714285716,1027.757142857143,9.678571428571429,0.0642857142857143,0.06428571428571428,-7.6499999999999995,0.65
6,강원도,2020-01-07,57043.953,2020.0,1.0,4.921428571428572,2.2857142857142856,76.64285714285714,7.507142857142857,2195.4285714285716,5.885714285714286,200.0,1649.642857142857,3.335714285714286,206.42857142857142,1773.7857142857142,1.2428571428571427,1074.0,202.14285714285714,4.414285714285715,88.71428571428571,429.2142857142857,96.89999999999999,8.45,986.7642857142857,1023.6285714285714,1.0,999.1714285714286,2358.285714285714,1012.6357142857142,9.685714285714285,0.0,2.742857142857143,1.4,48.878571428571426
7,강원도,2020-01-08,272053.976,2020.0,1.0,4.757142857142857,2.157142857142857,2186.5714285714284,9.385714285714286,387.42857142857144,12.478571428571428,273.57142857142856,877.2857142857143,6.978571428571429,252.14285714285714,817.1428571428571,2.742857142857143,2376.285714285714,239.28571428571428,2.2642857142857142,70.5,1620.2857142857142,84.60000000000001,7.285714285714286,985.3000000000001,1020.0071428571429,2248.5,996.7285714285715,163.21428571428572,1011.6714285714286,9.714285714285714,1.7071428571428573,4.207142857142857,0.3357142857142857,14.221428571428572
8,강원도,2020-01-09,803275.643,2020.0,1.0,0.3285714285714286,-2.7357142857142853,2239.0,3.542857142857143,1221.0,8.95,267.14285714285717,584.2142857142857,5.207142857142857,217.14285714285714,508.5,2.0571428571428574,1774.142857142857,221.42857142857142,-5.485714285714286,46.0,1350.5714285714287,67.00714285714285,4.078571428571428,995.0214285714285,1025.1,2255.214285714286,1019.6214285714286,371.7142857142857,1022.2142857142857,9.721428571428572,6.942857142857143,1.3714285714285714,-6.485714285714286,0.0071428571428571435
9,강원도,2020-01-10,900649.726,2020.0,1.0,-0.14285714285714285,-4.435714285714286,561.2142857142857,6.014285714285714,1466.642857142857,5.3428571428571425,252.14285714285714,1607.5714285714287,3.2714285714285714,256.42857142857144,1477.0,1.242857142857143,1068.357142857143,198.57142857142858,-6.214285714285714,37.92857142857143,1530.5,68.08571428571429,3.892857142857143,996.0214285714285,1025.7857142857142,754.8571428571429,1019.9142857142857,1685.7142857142858,1022.7857142857143,9.735714285714286,7.0928571428571425,0.6428571428571429,-7.6499999999999995,0.0
10,강원도,2020-01-11,925380.2700000001,2020.0,1.0,-0.29999999999999993,-4.142857142857143,739.2857142857143,4.778571428571429,1426.9285714285713,6.721428571428571,246.42857142857142,1036.0714285714287,4.057142857142857,231.42857142857142,1013.7857142857143,1.3285714285714287,1149.4285714285713,221.42857142857142,-6.707142857142857,38.357142857142854,1391.2857142857142,66.03571428571429,3.75,992.5785714285714,1021.8928571428571,883.4285714285714,1016.9142857142857,1527.0,1019.2785714285714,9.75,7.621428571428572,0.1571428571428571,-8.042857142857143,0.0
11,강원도,2020-01-12,846328.347,2020.0,1.0,-0.4928571428571429,-3.314285714285714,1173.0,3.6214285714285714,1385.2857142857142,7.478571428571429,225.71428571428572,1749.2857142857142,4.185714285714286,256.42857142857144,1667.5714285714287,1.6214285714285714,1400.4285714285713,220.71428571428572,-7.228571428571429,38.857142857142854,1410.5714285714287,63.449999999999996,3.585714285714286,990.0571428571428,1018.8714285714286,1644.357142857143,1014.3571428571429,1401.142857142857,1016.7142857142857,9.785714285714286,6.6571428571428575,0.04285714285714283,-6.964285714285714,0.0
12,강원도,2020-01-13,975070.563,2020.0,1.0,-2.185714285714286,-5.328571428571428,1751.857142857143,1.8714285714285717,1434.857142857143,9.757142857142856,250.0,1319.2142857142858,5.585714285714286,238.57142857142858,1376.357142857143,2.335714285714286,2014.357142857143,205.0,-11.921428571428573,27.714285714285715,1516.7142857142858,51.278571428571425,2.5357142857142856,994.35,1024.8214285714287,2333.9285714285716,1018.1357142857142,255.42857142857142,1021.3071428571428,9.792857142857144,7.757142857142857,-1.2714285714285716,-9.457142857142857,0.0
13,강원도,2020-01-14,1000782.542,2020.0,1.0,-3.1,-7.792857142857143,834.2857142857143,3.0714285714285716,1456.0,5.821428571428571,199.28571428571428,1261.9285714285713,3.5142857142857147,207.85714285714286,1098.0714285714287,1.3,1112.7857142857142,164.28571428571428,-12.392857142857142,24.071428571428573,1376.5714285714287,52.82142857142857,2.414285714285714,998.3142857142857,1027.5357142857142,2340.0,1022.7714285714285,1349.4285714285713,1025.4428571428573,9.814285714285715,8.285714285714286,-1.7714285714285716,-11.15,0.0
