statusCode,statusMessage,userId,facilityId,addressName,itemCode
0.0,NORMAL_CODE,LSDS_001,LSDS_001_01,경상남도 하동군,413000.0
,,LSDS_002,LSDS_002_01,충청남도 천안시,413000.0
,,LSDS_003,LSDS_003_01,충청남도 천안시,413000.0
,,LSDS_005,LSDS_005_01,경기도 여주군,413000.0
,,LSDS_006,LSDS_006_01,경상북도 포항시,413000.0
,,PFS_0000001,PFS_0000001_01,경상남도 사천시,80300.0
,,PFS_0000002,PFS_0000002_01,전라북도 김제시,80300.0
,,PFS_0000003,PFS_0000003_01,경상남도 함안군,80300.0
,,PFS_0000004,PFS_0000004_01,경상남도 진주시,80300.0
,,PFS_0000005,PFS_0000005_01,경상남도 진주시,132600.0
,,PFS_0000006,PFS_0000006_01,전라북도 순창군,80300.0
,,PFS_0000007,PFS_0000007_01,전라남도 화순군,80300.0
,,PFS_0000008,PFS_0000008_01,전라북도 완주군,80300.0
,,PFS_0000009,PFS_0000009_01,전라북도 김제시,80300.0
,,PFS_0000010,PFS_0000010_01,경상남도 거창군,132600.0
,,PF_0000001,PF_0000001_01,충청남도 부여군,80400.0
,,PF_0000002,PF_0000002_01,충청남도 부여군,80300.0
,,PF_0000004,PF_0000004_01,충청남도 부여군,80300.0
,,PF_0000005,PF_0000005_01,충청남도 부여군,80300.0
,,PF_0000006,PF_0000006_01,충청남도 부여군,80300.0
,,PF_0000007,PF_0000007_01,충청남도 부여군,80300.0
,,PF_0000008,PF_0000008_01,충청남도 부여군,80300.0
,,PF_0000009,PF_0000009_01,충청남도 부여군,80300.0
,,PF_0000010,PF_0000010_01,충청남도 부여군,80300.0
,,PF_0000011,PF_0000011_01,충청남도 논산시,80300.0
,,PF_0000012,PF_0000012_01,충청남도 논산시,80300.0
,,PF_0000013,PF_0000013_01,충청남도 논산시,80300.0
,,PF_0000014,PF_0000014_01,충청남도 논산시,80300.0
,,PF_0000015,PF_0000015_01,충청남도 논산시,80300.0
,,PF_0000016,PF_0000016_01,충청남도 논산시,80300.0
,,PF_0000017,PF_0000017_01,충청남도 논산시,80300.0
,,PF_0000018,PF_0000018_01,충청남도 논산시,80300.0
,,PF_0000019,PF_0000019_01,충청남도 부여군,80300.0
,,PF_0000020,PF_0000020_01,충청남도 부여군,80300.0
,,PF_0000021,PF_0000021_01,경상남도 진주시,132600.0
,,PF_0000022,PF_0000022_01,경상남도 진주시,132600.0
,,PF_0000027,PF_0000027_01,경상남도 함안군,132600.0
,,PF_0000029,PF_0000029_01,전라남도 화순군,80400.0
,,PF_0000030,PF_0000030_01,전라남도 장성군,80400.0
,,PF_0000031,PF_0000031_01,전라남도 강진군,80400.0
,,PF_0000032,PF_0000032_01,전라남도 담양군,80400.0
,,PF_0000034,PF_0000034_01,충청남도 부여군,80300.0
,,PF_0000039,PF_0000039_01,경상남도 창녕군,80300.0
,,PF_0000040,PF_0000040_01,경상남도 창녕군,80300.0
,,PF_0000042,PF_0000042_01,경상남도 창녕군,80300.0
,,PF_0000043,PF_0000043_01,경상남도 창녕군,80300.0
,,PF_0000047,PF_0000047_01,경상남도 창녕군,80300.0
,,PF_0000048,PF_0000048_01,경상남도 창녕군,132600.0
,,PF_0000098,PF_0000098_01,전라북도 남원시,80400.0
,,PF_0000099,PF_0000099_01,경기도 평택시,80300.0
,,PF_0000111,PF_0000111_01,경상북도 상주시,80400.0
,,PF_0000116,PF_0000116_01,경상남도 창녕군,80300.0
,,PF_0000121,PF_0000121_01,경기도 이천시,inf
,,PF_0000122,PF_0000122_01,경기도 이천시,inf
,,PF_0000125,PF_0000125_01,전라북도 정읍시,80300.0
,,PF_0000129,PF_0000129_01,강원도 철원군,132600.0
,,PF_0000131,PF_0000131_01,강원도 철원군,132600.0
,,PF_0000139,PF_0000139_01,경기도 이천시,inf
,,PF_0000145,PF_0000145_01,경상남도 밀양시,132600.0
,,PF_0000168,PF_0000168_01,강원도 평창군,132600.0
,,PF_0000184,PF_0000184_01,경상남도 김해시,132600.0
,,PF_0000185,PF_0000185_01,경상남도 김해시,80300.0
,,PF_0000190,PF_0000190_01,경상북도 성주군,80200.0
,,PF_0000203,PF_0000203_01,전라남도 화순군,80400.0
,,PF_0000227,PF_0000227_01,전라남도 화순군,80300.0
,,PF_0000234,PF_0000234_01,경상북도 상주시,60300.0
,,PF_0000265,PF_0000265_01,전라남도 보성군,80300.0
,,PF_0000284,PF_0000284_01,충청남도 당진시,80400.0
,,PF_0000304,PF_0000304_01,경상남도 사천시,80300.0
,,PF_0000321,PF_0000321_01,경상남도 김해시,132600.0
,,PF_0000335,PF_0000335_01,강원도 평창군,132600.0
,,PF_0000336,PF_0000336_01,강원도 평창군,132600.0
,,PF_0000348,PF_0000348_01,경상남도 김해시,132600.0
,,PF_0000365,PF_0000365_01,전라북도 장수군,80300.0
,,PF_0000374,PF_0000374_01,전라북도 김제시,80400.0
,,PF_0000445,PF_0000445_01,전라북도 장수군,413000.0
,,PF_0000468,PF_0000468_01,경상북도 성주군,80200.0
,,PF_0000476,PF_0000476_01,경상북도 성주군,80200.0
,,PF_0000481,PF_0000481_01,경상북도 성주군,80200.0
,,PF_0000528,PF_0000528_01,경상북도 성주군,80200.0
,,PF_0000533,PF_0000533_01,경상북도 성주군,80200.0
,,PF_0000574,PF_0000574_01,전라북도 김제시,80400.0
,,PF_0000576,PF_0000576_01,전라북도 부안군,80400.0
,,PF_0000577,PF_0000577_01,경상북도 성주군,80200.0
,,PF_0000587,PF_0000587_01,전라북도 고창군,132600.0
,,PF_0000595,PF_0000595_01,전라북도 고창군,132600.0
,,PF_0000597,PF_0000597_01,전라북도 남원시,132600.0
,,PF_0000630,PF_0000630_01,전라북도 고창군,132600.0
,,PF_0000777,PF_0000777_01,전라북도 김제시,80400.0
,,PF_0000778,PF_0000778_01,전라북도 김제시,80400.0
,,PF_0000780,PF_0000780_01,전라북도 김제시,80400.0
,,PF_0000806,PF_0000806_01,경상북도 경주시,80300.0
,,PF_0000824,PF_0000824_01,경상남도 산청군,80400.0
,,PF_0000854,PF_0000854_01,전라북도 남원시,132600.0
,,PF_0000872,PF_0000872_01,경상남도 합천군,132600.0
,,PF_0001001,PF_0001001_01,전라북도 장수군,80300.0
,,PF_0001002,PF_0001002_01,전라북도 김제시,80300.0
,,PF_0001003,PF_0001003_01,전라북도 김제시,80400.0
,,PF_0001004,PF_0001004_01,전라남도 화순군,80400.0
,,PF_0001005,PF_0001005_01,전라남도 화순군,80400.0
,,PF_0001006,PF_0001006_01,경상남도 함안군,132600.0
,,PF_0001008,PF_0001008_01,전라남도 장성군,80400.0
,,PF_0001009,PF_0001009_01,충청남도 부여군,80300.0
,,PF_0001044,PF_0001044_01,전라남도 곡성군,80400.0
,,PF_0001055,PF_0001055_01,경기도 용인시 처인구,230000.0
,,PF_0001065,PF_0001065_01,전라남도 화순군,80400.0
,,PF_0001066,PF_0001066_01,전라남도 장성군,132600.0
,,PF_0001122,PF_0001122_01,경상남도 김해시,132600.0
,,PF_0001188,PF_0001188_01,경상북도 상주시,90100.0
,,PF_0001201,PF_0001201_01,충청북도 증평군,413000.0
,,PF_0001277,PF_0001277_01,경기도 화성시,132600.0
,,PF_0001278,PF_0001278_01,강원도 인제군,132600.0
,,PF_0001279,PF_0001279_01,강원도 인제군,132600.0
,,PF_0001280,PF_0001280_01,강원도 인제군,132600.0
,,PF_0001281,PF_0001281_01,강원도 인제군,132600.0
,,PF_0001282,PF_0001282_01,강원도 평창군,80400.0
,,PF_0001283,PF_0001283_01,강원도 평창군,80400.0
,,PF_0001284,PF_0001284_01,강원도 평창군,132600.0
,,PF_0001285,PF_0001285_01,경상남도 창원시 마산합포구,132600.0
,,PF_0001286,PF_0001286_01,경상남도 밀양시,132600.0
,,PF_0001287,PF_0001287_01,경상남도 합천군,132600.0
,,PF_0001288,PF_0001288_01,경상남도 진주시,132600.0
,,PF_0001289,PF_0001289_01,경상남도 거창군,80400.0
